PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1505,2002-03,00,1610612742,DAL,28.0,14,0,204.0,27,58,0.466,0,1,0.0,3,6,0.5,14,26,40,21,6,3,7,26,57
949,2002-03,00,1610612737,ATL,26.0,81,81,3087.0,566,1183,0.478,21,60,0.35,455,541,0.841,175,502,677,242,87,38,212,240,1608
2042,2002-03,00,1610612740,NOH,26.0,66,7,1360.0,193,505,0.382,19,57,0.333,118,146,0.808,39,79,118,79,31,6,68,125,523
2124,2002-03,00,1610612748,MIA,25.0,80,73,2320.0,335,790,0.424,0,4,0.0,97,121,0.802,134,291,425,54,37,78,128,234,767
951,2002-03,00,1610612749,MIL,27.0,47,46,1683.0,351,803,0.437,123,311,0.395,178,195,0.913,45,173,218,164,57,11,117,149,1003
951,2002-03,00,1610612760,SEA,27.0,29,29,1197.0,247,560,0.441,78,222,0.351,138,150,0.92,49,114,163,170,46,3,81,71,710
951,2002-03,00,0,TOT,27.0,76,75,2880.0,598,1363,0.439,201,533,0.377,316,345,0.916,94,287,381,334,103,14,198,220,1713
1747,2002-03,00,1610612761,TOR,26.0,47,4,983.0,139,335,0.415,51,130,0.392,37,54,0.685,21,86,107,192,38,15,86,120,366
680,2002-03,00,1610612762,UTA,32.0,50,1,475.0,37,118,0.314,0,0,0.0,25,52,0.481,26,51,77,21,14,7,34,50,99
2365,2002-03,00,1610612743,DEN,24.0,59,3,903.0,114,285,0.4,0,1,0.0,77,140,0.55,109,165,274,32,30,60,60,90,305
1507,2002-03,00,1610612757,POR,28.0,76,76,2554.0,355,832,0.427,116,331,0.35,231,269,0.859,53,211,264,325,90,16,128,141,1057
72,2002-03,00,1610612760,SEA,32.0,38,1,689.0,102,232,0.44,0,5,0.0,29,35,0.829,17,70,87,121,40,1,33,63,233
72,2002-03,00,1610612740,NOH,32.0,23,1,446.0,61,150,0.407,1,2,0.5,16,22,0.727,14,31,45,77,18,4,42,43,139
72,2002-03,00,0,TOT,32.0,61,2,1135.0,163,382,0.427,1,7,0.143,45,57,0.789,31,101,132,198,58,5,75,106,372
1000,2002-03,00,1610612752,NYK,29.0,82,9,1729.0,248,537,0.462,52,140,0.371,139,190,0.732,64,190,254,87,73,20,114,177,687
2425,2002-03,00,1610612763,MEM,23.0,12,0,72.0,6,20,0.3,0,0,0.0,7,18,0.389,6,11,17,3,0,3,7,9,19
2240,2002-03,00,1610612744,GSW,21.0,82,82,2866.0,509,1180,0.431,109,313,0.348,370,468,0.791,97,289,386,514,124,17,290,260,1497
